cryptocompare_symbol,cryptocompare_id,coingecko_id,coingecko_symbol,coingecko_name
BTCST,938531.0,btc-standard-hashrate-token,btcst,BTC Standard Hashrate Token
ARDR,30173.0,ardor,ardr,Ardor
BICO,945009.0,biconomy,bico,Biconomy
CVC,139467.0,civic,cvc,Civic
OGN,933180.0,origin-protocol,ogn,Origin Protocol
SNT,137013.0,status,SNT,Status
UBT,889870.0,unibright,ubt,Unibright
CFX,937778.0,conflux-token,cfx,Conflux
ELF,571314.0,aelf,elf,aelf
SUN,936492.0,sun-token,sun,Sun Token
STMX,935195.0,storm,stmx,StormX

